2theta	Theorical peaks	2theta	I	2theta	I
deg	Intensity	deg	(a.u.)	deg	(a.u.)
2H-WSe2	2H-WSe2	x=15,d=21%	x=15,d=21%	x=0,d=4%	x=0,d=4%
		14.76	0.00211928549803209	17.27255	0.00770698766881976
		14.78	0.00514683620950651	17.29885	0.00743785476609909
		14.8	0.00393581592491674	17.32515	0.00731552162849868
		14.82	0.00333030578262186	17.35145	0.00702192209825795
		14.84	0.00272479564032698	17.37775	0.00743785476609909
		14.86	0.00333030578262186	17.40405	0.00685065570561752
		14.88	0.0036330608537693	17.43035	0.00765805441377964
		14.9	0.00454132606721163	17.45665	0.0072421217459385
		14.92	0.00242204056917953	17.48295	0.00804952045410062
		14.94	0.00333030578262186	17.50925	0.00846545312194166
		14.96	0.00393581592491674	17.53555	0.00601879036993545
		14.98	0.00333030578262186	17.56185	0.00677725582305734
		15	0.00181653042688465	17.58815	0.00778038755137994
		15.02	0.00393581592491674	17.61445	0.00663045605793697
		15.04	0.00242204056917953	17.64075	0.00853885300450184
		15.06	0.00333030578262186	17.66705	0.00743785476609909
		15.08	0.00302755071147442	17.69335	0.00699745547073789
		15.1	0.00302755071147442	17.71965	0.0066793893129771
		15.12	0.00423857099606418	17.74595	0.00687512233313758
		15.14	0.00544959128065395	17.77225	0.00641025641025642
		15.16	0.00302755071147442	17.79855	0.00614112350753575
		15.18	0.00242204056917953	17.82485	0.00853885300450184
		15.2	0.00514683620950651	17.85115	0.00626345664513606
		15.22	0.00333030578262186	17.87745	0.00729105500097862
		15.24	0.00393581592491674	17.90375	0.00729105500097862
		15.26	0.00484408113835907	17.93005	0.00692405558817771
		15.28	0.00302755071147442	17.95635	0.00697298884321783
		15.3	0.00333030578262186	17.98265	0.00641025641025642
		15.32	0.00454132606721163	18.00895	0.00641025641025642
		15.34	0.00393581592491674	18.03525	0.00596985711489532
		15.36	0.0036330608537693	18.06155	0.00702192209825795
		15.38	0.00393581592491674	18.08785	0.00672832256801722
		15.4	0.00514683620950651	18.11415	0.00687512233313758
		15.42	0.0036330608537693	18.14045	0.00609219025249563
		15.44	0.00272479564032698	18.16675	0.00614112350753575
		15.46	0.00302755071147442	18.19305	0.00594539048737526
		15.48	0.00151377535573721	18.21935	0.00658152280289685
		15.5	0.00242204056917953	18.24565	0.00645918966529655
		15.52	0.00181653042688465	18.27195	0.00596985711489532
		15.54	0.00454132606721163	18.29825	0.00606772362497557
		15.56	0.00544959128065395	18.32455	0.00692405558817771
		15.58	0.00333030578262186	18.35085	0.00565179095713443
		15.6	0.00211928549803209	18.37715	0.00626345664513606
		15.62	0.00393581592491674	18.40345	0.00604325699745551
		15.64	0.00514683620950651	18.42975	0.00538265805441376
		15.66	0.00242204056917953	18.45605	0.00641025641025642
		15.68	0.00272479564032698	18.48235	0.00555392444705419
		15.7	0.00454132606721163	18.50865	0.00641025641025642
		15.72	0.00272479564032698	18.53495	0.00570072421217455
		15.74	0.00333030578262186	18.56125	0.0057985907222548
		15.76	0.00393581592491674	18.58755	0.00653258954785673
		15.78	0.00454132606721163	18.61385	0.00474652573889217
		15.8	0.00393581592491674	18.64015	0.00489332550401254
		15.82	0.00211928549803209	18.66645	0.00565179095713443
		15.84	0.00272479564032698	18.69275	0.00533372479937364
		15.86	0.00302755071147442	18.71905	0.00660598943041691
		15.88	0.00423857099606418	18.74535	0.0068017224505774
		15.9	0.00242204056917953	18.77165	0.00574965746721468
		15.92	0.00242204056917953	18.79795	0.00545605793697394
		15.94	0.00333030578262186	18.82425	0.00501565864161284
		15.96	0.00756887677868604	18.85055	0.00501565864161284
		15.98	0.00423857099606418	18.87685	0.00484439224897242
		16	0.00514683620950651	18.90315	0.00526032491681345
		16.02	0.00605510142294883	18.92945	0.00472205911137211
		16.04	0.00272479564032698	18.95575	0.00543159130945388
		16.06	0.00302755071147442	18.98205	0.00626345664513606
		16.08	0.00393581592491674	19.00835	0.00499119201409278
		16.1	0.00544959128065395	19.03465	0.00562732432961437
		16.12	0.00484408113835907	19.06095	0.00528479154433351
		16.14	0.00454132606721163	19.08725	0.00521139166177333
		16.16	0.00242204056917953	19.11355	0.00526032491681345
		16.18	0.00242204056917953	19.13985	0.00474652573889217
		16.2	0.00514683620950651	19.16615	0.00499119201409278
		16.22	0.00484408113835907	19.19245	0.0045997259737718
		16.24	0.00423857099606418	19.21875	0.00464865922881193
		16.26	0.0036330608537693	19.24505	0.00538265805441376
		16.28	0.00272479564032698	19.27135	0.00638578978273636
		16.3	0.00454132606721163	19.29765	0.00555392444705419
		16.32	0.0036330608537693	19.32395	0.00489332550401254
		16.34	0.00454132606721163	19.35025	0.00477099236641223
		16.36	0.00423857099606418	19.37655	0.0049177921315326
		16.38	0.00242204056917953	19.40285	0.00462419260129187
		16.4	0.00454132606721163	19.42915	0.00574965746721468
		16.42	0.00333030578262186	19.45545	0.00545605793697394
		16.44	0.00575234635180139	19.48175	0.00435505969857119
		16.46	0.00242204056917953	19.50805	0.00464865922881193
		16.48	0.0036330608537693	19.53435	0.00574965746721468
		16.5	0.00484408113835907	19.56065	0.00464865922881193
		16.52	0.00484408113835907	19.58695	0.00508905852417303
		16.54	0.00484408113835907	19.61325	0.0050401252691329
		16.56	0.00393581592491674	19.63955	0.00557839107457425
		16.58	0.00393581592491674	19.66585	0.00479545899393229
		16.6	0.00272479564032698	19.69215	0.0050401252691329
		16.62	0.00302755071147442	19.71845	0.00437952632609125
		16.64	0.00272479564032698	19.74475	0.00526032491681345
		16.66	0.00454132606721163	19.77105	0.00496672538657272
		16.68	0.00333030578262186	19.79735	0.00518692503425327
		16.7	0.00423857099606418	19.82365	0.00450185946369156
		16.72	0.00544959128065395	19.84995	0.00423272656097079
		16.74	0.00393581592491674	19.87625	0.00496672538657272
		16.76	0.00666061156524372	19.90255	0.00550499119201406
		16.78	0.00302755071147442	19.92885	0.00501565864161284
		16.8	0.00514683620950651	19.95515	0.0045997259737718
		16.82	0.0036330608537693	19.98145	0.00543159130945388
		16.84	0.00454132606721163	20.00775	0.00464865922881193
		16.86	0.00605510142294883	20.03405	0.00464865922881193
		16.88	0.00211928549803209	20.06035	0.00513799177921315
		16.9	0.00423857099606418	20.08665	0.00543159130945388
		16.92	0.0072661217075386	20.11295	0.00533372479937364
		16.94	0.00393581592491674	20.13925	0.00508905852417303
		16.96	0.00514683620950651	20.16555	0.00501565864161284
		16.98	0.00605510142294883	20.19185	0.00484439224897242
		17	0.00393581592491674	20.21815	0.00577412409473474
		17.02	0.00423857099606418	20.24445	0.00550499119201406
		17.04	0.00544959128065395	20.27075	0.0044773928361715
		17.06	0.00333030578262186	20.29705	0.00560285770209431
		17.08	0.00272479564032698	20.32335	0.00567625758465449
		17.1	0.00333030578262186	20.34965	0.00594539048737526
		17.12	0.00514683620950651	20.37595	0.00437952632609125
