H	M	M_over_mass	M_without_diamagnetism	M/Ms
Oe	emu	emu/g	emu/g	-
x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum	x=15% after 3 months in soft vacuum
-928.63481	-3.7387817E-7	-2.61453265734266E-5	-2.02603063872775E-4	-0.782303400748228
-953.76008	-1.3223306E-6	-9.24706713286713E-5	-2.73228513678544E-4	-0.851226934086691
-978.88433	-1.5178336E-6	-1.0614220979021E-4	-2.91199982621053E-4	-0.928708109435212
-1003.9966	-2.0808547E-6	-1.45514314685315E-4	-3.34869967660614E-4	-0.982504265341355
-1029.1244	-1.5494473E-6	-1.08352958041958E-4	-3.02009149068731E-4	-0.972992665358714
-1054.2414	-1.3678728E-6	-9.56554405594406E-5	-2.93610321254185E-4	-0.993154450261763
-1079.3632	-7.3597009E-7	-5.14664398601399E-5	-2.53720831726635E-4	-0.951200478390109
-1104.4995	-1.6721823E-6	-1.16935825174825E-4	-3.23492209839068E-4	-0.946176018792456
-1129.6125	-6.8459223E-7	-4.78735825174825E-5	-2.58727972263215E-4	-0.95352947340989
-1154.9492	-1.0744829E-6	-7.51386643356644E-5	-2.903293446619E-4	-0.998747526315872
-1180.1126	-1.2017707E-6	-8.40399090909091E-5	-3.0353722028831E-4	-1.04276079093539
-1205.2322	-1.5151061E-6	-1.05951475524476E-4	-3.29747921371061E-4	-1.06088909435644
-1230.3571	-2.4212672E-6	-1.69319384615385E-4	-3.97415872188244E-4	-0.985325834611805
-1255.476	-7.874868E-7	-5.5069006993007E-5	-2.87464509412417E-4	-0.945715933091439
-1280.6073	1.1608931E-6	8.11813356643357E-5	-1.5551530381972E-4	-0.935196338125704
-1305.7158	1.3594096E-7	9.50636083916084E-6	-2.31487513566592E-4	-0.88279800115512
-1330.8498	-9.0354259E-7	-6.31847965034965E-5	-3.0848027006977E-4	-0.916752205748326
-1355.9562	-7.6432598E-7	-5.34493692307692E-5	-3.03041718310837E-4	-0.966154318902823
-1381.0937	-1.2861324E-6	-8.99393286713287E-5	-3.43833875925089E-4	-0.97532889832887
-1406.2057	2.7656536E-7	1.9340234965035E-5	-2.38852146223594E-4	-1.01330876260119
-1431.332	2.5587028E-7	1.78930265734266E-5	-2.44599635946745E-4	-1.01102552558825
-1456.686	-1.5020718E-6	-1.05039986013986E-4	-3.71871899951196E-4	-0.979330262256093
-1481.8293	-3.576563E-7	-2.50109300699301E-5	-2.96146034831232E-4	-1.01437726372702
-1506.9484	-1.4530492E-7	-1.01611832167832E-5	-2.8559533705396E-4	-1.06442815373762
-1532.071	-2.4867041E-7	-1.73895391608392E-5	-2.97123341087063E-4	-1.00710316210731
-1557.1827	-6.4395051E-7	-4.50315041958042E-5	-3.29063088712911E-4	-1.00548123900664
